Wall time,Step,Value
1653339480.222931,0,0.20000000298023224
1653339562.7666779,1,2.700000047683716
1653339643.521525,2,5.300000190734863
1653339724.3922799,3,9.0
1653339805.1464868,4,9.200000762939453
1653339885.9693453,5,11.40000057220459
1653339966.6756148,6,12.000000953674316
1653340047.4402783,7,14.90000057220459
1653340128.020132,8,14.40000057220459
1653340208.771151,9,14.100000381469727
1653340289.5618875,10,15.100000381469727
1653340370.3675356,11,13.90000057220459
1653340451.0158477,12,14.90000057220459
1653340531.7284987,13,15.80000114440918
1653340612.294006,14,15.40000057220459
1653340692.810896,15,16.100000381469727
1653340773.4521277,16,17.700000762939453
1653340854.1600301,17,18.600000381469727
1653340934.80524,18,18.5
1653341015.3473535,19,17.700000762939453
1653341095.8617501,20,16.900001525878906
1653341176.5331292,21,17.0
1653341257.1872587,22,17.400001525878906
1653341337.7036166,23,17.400001525878906
1653341418.146063,24,17.600000381469727
1653341498.7288063,25,17.0
1653341579.301773,26,17.80000114440918
1653341659.7616513,27,19.100000381469727
1653341740.2315724,28,16.700000762939453
1653341820.7484813,29,17.600000381469727
1653341901.3431845,30,17.400001525878906
1653341982.0286279,31,17.5
1653342062.624861,32,17.80000114440918
1653342143.3832674,33,17.400001525878906
1653342223.8806856,34,17.400001525878906
1653342304.407744,35,17.600000381469727
1653342384.9837244,36,17.900001525878906
1653342465.5058692,37,18.100000381469727
1653342546.0609987,38,17.80000114440918
1653342626.7225862,39,17.100000381469727
1653342707.242472,40,17.400001525878906
1653342787.7439058,41,17.5
1653342868.1719859,42,17.30000114440918
1653342948.8105798,43,18.0
1653343029.358615,44,17.600000381469727
1653343110.0087564,45,17.30000114440918
1653343190.6596549,46,17.400001525878906
1653343271.1089072,47,17.600000381469727
1653343351.6402974,48,17.5
1653343432.1102986,49,17.5
1653343512.615474,50,17.5
1653343593.1351833,51,17.400001525878906
1653343673.6124787,52,17.400001525878906
1653343754.1967351,53,17.5
1653343834.8156385,54,17.600000381469727
1653343915.369403,55,17.5
1653343995.940119,56,17.5
1653344076.5904837,57,17.5
1653344157.243332,58,17.5
1653344237.787254,59,17.5
1653344318.391938,60,17.5
1653344399.0053325,61,17.5
1653344479.6263847,62,17.5
1653344560.1637757,63,17.600000381469727
1653344640.6991293,64,17.600000381469727
1653344721.3222907,65,17.600000381469727
1653344801.812127,66,17.700000762939453
1653344882.276073,67,17.600000381469727
1653344962.7846513,68,17.700000762939453
1653345043.334061,69,17.600000381469727
1653345123.7121053,70,17.600000381469727
1653345204.2601411,71,17.600000381469727
1653345284.733262,72,17.600000381469727
1653345365.3869545,73,17.600000381469727
1653345446.0482016,74,17.600000381469727
1653345526.5033715,75,17.600000381469727
1653345607.0267334,76,17.600000381469727
1653345687.4664752,77,17.600000381469727
1653345768.131334,78,17.600000381469727
1653345848.7093046,79,17.600000381469727
1653345929.24277,80,17.600000381469727
1653346009.8313994,81,17.600000381469727
1653346090.470602,82,17.600000381469727
1653346171.1274147,83,17.600000381469727
1653346251.6933327,84,17.600000381469727
1653346332.0698607,85,17.600000381469727
1653346412.7118807,86,17.600000381469727
1653346493.2741659,87,17.600000381469727
1653346573.7843463,88,17.600000381469727
1653346654.2150564,89,17.600000381469727
1653346734.7506907,90,17.600000381469727
1653346815.2414424,91,17.600000381469727
1653346895.8739944,92,17.600000381469727
1653346976.3610506,93,17.600000381469727
1653347056.9411116,94,17.600000381469727
1653347137.5251918,95,17.600000381469727
1653347217.9985218,96,17.600000381469727
1653347298.6996493,97,17.600000381469727
1653347379.3311777,98,17.600000381469727
1653347459.883346,99,17.600000381469727
1653347540.3425164,100,17.600000381469727
