Wall time,Step,Value
1653308603.0147932,0,0.10000000149011612
1653308685.8793468,1,10.800000190734863
1653308766.5418565,2,41.000003814697266
1653308847.3770823,3,54.70000076293945
1653308928.1295865,4,59.500003814697266
1653309008.6126044,5,60.30000305175781
1653309089.1137881,6,63.30000305175781
1653309169.8595595,7,66.10000610351562
1653309250.3706942,8,65.70000457763672
1653309332.0668666,9,69.10000610351562
1653309413.5500455,10,66.30000305175781
1653309494.0949633,11,68.10000610351562
1653309574.3810594,12,64.10000610351562
1653309654.9463367,13,70.20000457763672
1653309735.3943079,14,69.10000610351562
1653309816.0151536,15,68.60000610351562
1653309896.6352205,16,74.4000015258789
1653309977.1979768,17,75.30000305175781
1653310057.8596525,18,75.5
1653310138.4471316,19,76.4000015258789
1653310219.4919689,20,76.60000610351562
1653310300.1565742,21,77.70000457763672
1653310381.1942804,22,76.70000457763672
1653310462.1062584,23,77.4000015258789
1653310542.5018275,24,76.80000305175781
1653310622.9953442,25,77.0
1653310704.0308702,26,75.60000610351562
1653310784.3733306,27,76.0
1653310865.6217005,28,77.60000610351562
1653310946.0187345,29,76.80000305175781
1653311027.3433115,30,77.70000457763672
1653311107.8024464,31,77.5
1653311188.321019,32,77.30000305175781
1653311269.1906388,33,77.10000610351562
1653311350.0279438,34,77.5
1653311430.354014,35,77.0
1653311510.8261864,36,76.80000305175781
1653311591.4013128,37,76.9000015258789
1653311672.1994047,38,77.60000610351562
1653311752.8561583,39,77.5
1653311833.5366576,40,77.5
1653311914.7986975,41,77.9000015258789
1653311995.9776628,42,77.5
1653312076.4486532,43,77.70000457763672
1653312157.208101,44,77.60000610351562
1653312237.6416142,45,77.70000457763672
1653312318.0703654,46,77.80000305175781
1653312398.4598541,47,78.0
1653312478.9118512,48,78.0
1653312559.3353229,49,78.30000305175781
1653312639.648851,50,78.30000305175781
1653312720.157615,51,78.4000015258789
1653312800.5366457,52,78.4000015258789
1653312880.9900258,53,78.4000015258789
1653312961.3470676,54,78.30000305175781
1653313041.8819053,55,78.20000457763672
1653313122.259583,56,78.0
1653313202.7649996,57,78.0
1653313283.1638296,58,78.30000305175781
1653313363.4501956,59,78.20000457763672
1653313443.7752016,60,78.30000305175781
1653313524.1031408,61,78.30000305175781
1653313604.6381257,62,78.20000457763672
1653313685.2086663,63,78.30000305175781
1653313765.640596,64,78.30000305175781
1653313846.180489,65,78.20000457763672
1653313926.6923234,66,78.30000305175781
1653314007.1191049,67,78.20000457763672
1653314087.5984094,68,78.20000457763672
1653314168.107944,69,78.20000457763672
1653314248.4762125,70,78.20000457763672
1653314328.9251406,71,78.20000457763672
1653314409.3725488,72,78.30000305175781
1653314489.751006,73,78.30000305175781
1653314570.2220037,74,78.30000305175781
1653314650.6812923,75,78.30000305175781
1653314731.0761354,76,78.30000305175781
1653314811.7020814,77,78.30000305175781
1653314892.3158884,78,78.30000305175781
1653314972.5748055,79,78.30000305175781
1653315053.0048356,80,78.30000305175781
1653315133.4391253,81,78.30000305175781
1653315213.831202,82,78.30000305175781
1653315294.2234583,83,78.30000305175781
1653315374.6189723,84,78.30000305175781
1653315454.8565166,85,78.30000305175781
1653315535.401664,86,78.30000305175781
1653315615.8209457,87,78.30000305175781
1653315696.1125317,88,78.30000305175781
1653315776.5589328,89,78.30000305175781
1653315856.8757641,90,78.30000305175781
1653315937.187092,91,78.30000305175781
1653316017.5464766,92,78.30000305175781
1653316097.9644723,93,78.30000305175781
1653316178.5118356,94,78.30000305175781
1653316259.0605996,95,78.30000305175781
1653316339.598273,96,78.30000305175781
1653316419.9370377,97,78.30000305175781
1653316500.3358212,98,78.30000305175781
1653316580.8805652,99,78.30000305175781
1653316661.3073742,100,78.30000305175781
