Wall time,Step,Value
1653339480.2224507,0,0.10000000149011612
1653339562.766376,1,0.800000011920929
1653339643.5208688,2,1.9000000953674316
1653339724.3889217,3,1.9000000953674316
1653339805.1463497,4,2.3000001907348633
1653339885.9688292,5,2.4000000953674316
1653339966.675318,6,3.9000000953674316
1653340047.4399874,7,4.600000381469727
1653340128.0197752,8,4.900000095367432
1653340208.7710357,9,4.900000095367432
1653340289.561765,10,6.100000381469727
1653340370.367196,11,8.0
1653340451.0155637,12,8.200000762939453
1653340531.7281682,13,8.800000190734863
1653340612.2937958,14,9.100000381469727
1653340692.8104901,15,7.90000057220459
1653340773.4517484,16,9.0
1653340854.1599073,17,9.300000190734863
1653340934.8048487,18,11.300000190734863
1653341015.345837,19,10.40000057220459
1653341095.8616264,20,10.300000190734863
1653341176.5327773,21,11.90000057220459
1653341257.1870503,22,10.100000381469727
1653341337.703424,23,10.90000057220459
1653341418.145638,24,10.700000762939453
1653341498.728684,25,11.000000953674316
1653341579.3015711,26,10.300000190734863
1653341659.7614615,27,11.000000953674316
1653341740.2313821,28,11.000000953674316
1653341820.7480705,29,10.40000057220459
1653341901.34306,30,11.100000381469727
1653341982.0281892,31,11.200000762939453
1653342062.624069,32,11.000000953674316
1653342143.383029,33,10.600000381469727
1653342223.8804002,34,10.600000381469727
1653342304.4076226,35,10.800000190734863
1653342384.9830678,36,10.90000057220459
1653342465.5045123,37,11.40000057220459
1653342546.0606825,38,10.500000953674316
1653342626.72186,39,10.500000953674316
1653342707.2422416,40,10.800000190734863
1653342787.743528,41,10.90000057220459
1653342868.1706102,42,11.100000381469727
1653342948.8103864,43,10.600000381469727
1653343029.35701,44,10.700000762939453
1653343110.0080369,45,11.000000953674316
1653343190.6594276,46,10.90000057220459
1653343271.1077719,47,10.700000762939453
1653343351.6398966,48,10.90000057220459
1653343432.1099133,49,10.800000190734863
1653343512.615254,50,10.700000762939453
1653343593.1349897,51,10.700000762939453
1653343673.6120248,52,10.700000762939453
1653343754.1954849,53,10.700000762939453
1653343834.8153517,54,10.700000762939453
1653343915.3683982,55,10.700000762939453
1653343995.9398513,56,10.700000762939453
1653344076.5891407,57,10.800000190734863
1653344157.243086,58,10.700000762939453
1653344237.7870507,59,10.600000381469727
1653344318.3916266,60,10.700000762939453
1653344399.0051007,61,10.700000762939453
1653344479.6259613,62,10.700000762939453
1653344560.1635354,63,10.800000190734863
1653344640.6985805,64,10.800000190734863
1653344721.3220723,65,10.800000190734863
1653344801.81199,66,10.800000190734863
1653344882.2757225,67,10.800000190734863
1653344962.7843204,68,10.800000190734863
1653345043.3337162,69,10.800000190734863
1653345123.7118309,70,10.800000190734863
1653345204.259794,71,10.800000190734863
1653345284.733075,72,10.700000762939453
1653345365.3857443,73,10.700000762939453
1653345446.0480118,74,10.700000762939453
1653345526.5027268,75,10.700000762939453
1653345607.0265234,76,10.700000762939453
1653345687.4661329,77,10.700000762939453
1653345768.1311107,78,10.700000762939453
1653345848.7091866,79,10.700000762939453
1653345929.2424655,80,10.700000762939453
1653346009.831128,81,10.700000762939453
1653346090.4701796,82,10.700000762939453
1653346171.1255739,83,10.700000762939453
1653346251.693078,84,10.700000762939453
1653346332.0691712,85,10.700000762939453
1653346412.7115788,86,10.700000762939453
1653346493.2740471,87,10.700000762939453
1653346573.7842069,88,10.700000762939453
1653346654.2147932,89,10.700000762939453
1653346734.75053,90,10.700000762939453
1653346815.240982,91,10.700000762939453
1653346895.8737085,92,10.700000762939453
1653346976.3597574,93,10.700000762939453
1653347056.9408975,94,10.700000762939453
1653347137.5250678,95,10.700000762939453
1653347217.99808,96,10.700000762939453
1653347298.6990452,97,10.700000762939453
1653347379.330916,98,10.700000762939453
1653347459.8832068,99,10.700000762939453
1653347540.3419547,100,10.700000762939453
