Wall time,Step,Value
1653308603.0149353,0,0.0
1653308685.8794956,1,2.1000001430511475
1653308766.5420382,2,6.100000381469727
1653308847.377291,3,8.90000057220459
1653308928.1303427,4,11.700000762939453
1653309008.6126783,5,12.600000381469727
1653309089.1138475,6,14.90000057220459
1653309169.8596227,7,15.40000057220459
1653309250.3708367,8,15.700000762939453
1653309332.067009,9,14.40000057220459
1653309413.5501025,10,18.200000762939453
1653309494.0950599,11,17.100000381469727
1653309574.3811176,12,17.5
1653309654.9465067,13,18.100000381469727
1653309735.3944478,14,16.5
1653309816.0152273,15,20.30000114440918
1653309896.635278,16,21.000001907348633
1653309977.198117,17,20.80000114440918
1653310057.8598733,18,21.000001907348633
1653310138.4472792,19,20.200000762939453
1653310219.492834,20,20.200000762939453
1653310300.1567624,21,18.5
1653310381.1944017,22,20.500001907348633
1653310462.1064441,23,21.200000762939453
1653310542.5019093,24,21.000001907348633
1653310622.9955266,25,19.5
1653310704.0312526,26,20.100000381469727
1653310784.373687,27,20.100000381469727
1653310865.621762,28,19.600000381469727
1653310946.0187967,29,19.30000114440918
1653311027.3433766,30,18.80000114440918
1653311107.802558,31,19.5
1653311188.3211586,32,19.5
1653311269.1908221,33,18.900001525878906
1653311350.0281234,34,19.30000114440918
1653311430.3541121,35,19.30000114440918
1653311510.8263717,36,19.600000381469727
1653311591.40149,37,19.700000762939453
1653311672.1994622,38,19.700000762939453
1653311752.8564126,39,19.700000762939453
1653311833.53672,40,19.5
1653311914.7988567,41,19.400001525878906
1653311995.977846,42,19.100000381469727
1653312076.4488473,43,19.200000762939453
1653312157.209238,44,19.100000381469727
1653312237.641721,45,18.5
1653312318.0706835,46,18.700000762939453
1653312398.4608037,47,18.900001525878906
1653312478.9127953,48,18.900001525878906
1653312559.335431,49,19.100000381469727
1653312639.6489735,50,19.200000762939453
1653312720.1576793,51,19.200000762939453
1653312800.5367064,52,19.200000762939453
1653312880.9901578,53,19.30000114440918
1653312961.3473015,54,19.5
1653313041.882005,55,19.30000114440918
1653313122.25965,56,19.5
1653313202.765491,57,19.5
1653313283.1638868,58,19.5
1653313363.4502587,59,19.400001525878906
1653313443.775258,60,19.400001525878906
1653313524.103273,61,19.400001525878906
1653313604.6385033,62,19.400001525878906
1653313685.2087276,63,19.400001525878906
1653313765.6406968,64,19.30000114440918
1653313846.180629,65,19.400001525878906
1653313926.6926477,66,19.400001525878906
1653314007.119195,67,19.400001525878906
1653314087.5984888,68,19.400001525878906
1653314168.1080005,69,19.400001525878906
1653314248.4763718,70,19.400001525878906
1653314328.9252372,71,19.400001525878906
1653314409.3726046,72,19.400001525878906
1653314489.751424,73,19.400001525878906
1653314570.222067,74,19.400001525878906
1653314650.6814647,75,19.400001525878906
1653314731.0762367,76,19.400001525878906
1653314811.702185,77,19.400001525878906
1653314892.3159747,78,19.400001525878906
1653314972.575024,79,19.400001525878906
1653315053.0050073,80,19.400001525878906
1653315133.4392262,81,19.400001525878906
1653315213.8312643,82,19.400001525878906
1653315294.2235157,83,19.400001525878906
1653315374.6190774,84,19.400001525878906
1653315454.8566134,85,19.400001525878906
1653315535.4017453,86,19.400001525878906
1653315615.8210444,87,19.400001525878906
1653315696.11267,88,19.400001525878906
1653315776.5591402,89,19.400001525878906
1653315856.8759499,90,19.400001525878906
1653315937.1877117,91,19.400001525878906
1653316017.5465374,92,19.400001525878906
1653316097.9647043,93,19.400001525878906
1653316178.5121615,94,19.400001525878906
1653316259.060879,95,19.400001525878906
1653316339.5984685,96,19.400001525878906
1653316419.9370966,97,19.400001525878906
1653316500.3358822,98,19.400001525878906
1653316580.8806777,99,19.400001525878906
1653316661.3080657,100,19.400001525878906
